   Евгений |    Баранов |          6
     Игорь |    Андреев |         35
   Евгений |    Андреев |         26
     Артем |    Баранов |         20
     Игорь |    Баранов |         28
   Дмитрий |    Бабурин |         50
   Дмитрий |    Баранов |         31
 Александр |     Иванов |         58
     Артем |     Иванов |         96
     Игорь |    Андреев |         34
   Дмитрий |    Бабурин |         86
   Дмитрий |     Бахтин |         24
 Александр |    Баранов |         51
   Дмитрий |     Бахтин |         14
   Евгений |    Андреев |         63
   Дмитрий |     Иванов |         15
     Игорь |     Бахтин |          4
     Артем |    Баранов |         47
   Евгений |    Андреев |         57
   Евгений |     Иванов |         70
     Артем |    Бабурин |         66
   Евгений |    Баранов |         58
 Александр |    Бабурин |         29
     Артем |    Бабурин |         60
   Дмитрий |     Иванов |         82
